제목,링크,내용
<b>어린이보호구역</b> 단속카메라 절반은 '먹통'…경찰·지자체 '방치',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005636402,어린이보호구역의 교통사고 예방을 위한 이른바 민식이법 시행 이후 스쿨존 내에 과속단속카메라 설치는 크게 늘었지만 상당수가 무용지물인 것으로 나타났다 일 국회 행정안전위원회 소속 이형석 더불어민주당 
<b>어린이 보호구역</b>서 아이 들이받은 역주행 오토바이…누리꾼들 &quot;운전자 입장도...,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004977787,아이들도 항상 주위를 잘 살피고 안전할 때 건너야 한다는 걸 부모들이 잘 교육할 필요성이 있는 영상 민식이법 논하기 전에 어린이보호구역 내 불법주차 차량을 강력단속하는 것이 먼저다 불법을 저지르고 있는 차들을 
도내 과속 운전 적발 &quot;절반이 <b>어린이 보호구역</b>&quot;,https://www.g1tv.co.kr/index.php?type=news820&amp;page=1&amp;nth=0&amp;viewNum=252181,최근 강원도내 전체 과속 적발 건수 가운데 어린이 보호구역에서의 위반이 절반을 차지하고 있는 것으로 조사됐습니다 강원경찰청은 지난달 일부터 한달 동안 도내 어린이 보호구역에 설치된 과속 단속 장비를 
경찰, <b>어린이보호구역</b> 신호·속도 위반 등 집중 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011110112,서울경찰청은 다음 달 일로 예정된 초등학교 전면 등교에 맞춰 어린이보호구역에서의 교통법규 위반과 불법 주정차 행위를 집중 단속한다고 오늘일 밝혔습니다 우선 경찰서별로 전담팀을 만들어 오후 시부터 
인천 신광초 <b>어린이보호구역</b>, 화물차 통행제한 실시,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011111512,지난 월 화물차에 초등학생이 치어 숨지는 사고가 발생했던 인천시 중구 신광초등학교 어린이보호구역의 화물차 통행이 내일월 일부터 전면 제한됩니다 인천광역시 자치경찰위원회는 월부터 하교 시간인 평일 
광양시, <b>어린이보호구역</b>에 불법주정차 단속 CCTV 운영,https://mpmbc.co.kr/article/pWjJ1QBbaigN-nnynE,광양시가 어린이보호구역 내 불법 주정차 단속 를 추가 설치해 운영에 들어갔습니다 광양시는 지난 월 광양동초등학교 등 관내 어린이보호구역 개소에 불법 주정차 단속 의 추가 설치를 모두 마치고 평일 
서울경찰, 초등학교 ‘전면 등교’ 맞춰 <b>어린이보호구역</b> 집중단속 실시,https://www.vop.co.kr/A00001594073.html,다음달 일 예정된 초등학교 전면등교에 맞춰 경찰이 어린이보호구역스쿨존 내 교통 단속을 강화한다 서울경찰청청장 최관호은 초등학교 전면등교에 맞춰 어린이 교통사고 예방을 위한 어린이보호구역 
수성구형 안심통학로, 적극행정 경진대회 우수상 수상,http://www.ksmnews.co.kr/default/index_view_page.php?idx=351758&part_idx=1,수성구형 안심통학로 사업은 수성구가 년부터 어린이보호구역이 아닌 곳에서도 어린이의 보행안전을 지키고자 수성구형 안심통학로를 조성한 것이다 어린이보호구역 뿐만 아니라 집에서 학교까지 어린이들이 
대구시, <b>어린이보호구역</b> ‘무인교통단속장비’ 설치 확대,http://www.boannews.com/media/view.asp?idx=100184&kind=,년까지 무인교통단속 장비 대 추가 설치보안뉴스  대구시는 내년까지 어린이보호구역 보행 안전 확보를 위해 무인교통신호과속단속장비 대를 추가 설치한다년 월 도로교통법 개정일명 
대구시, <b>어린이 보호구역</b> 내 무인교통단속장비 확대,http://www.newsway.co.kr/news/view?tp=1&ud=2021082717340585847,대구시는 내년까지 어린이 보호구역 보행 안전 확보를 위해 무인교통단속장비 대를 추가 설치한다 년 월 도로교통법 개정으로 어린이 보호구역에 무인교통단속장비를 우선 설치해야 됨에 따라 대구시는 
대형건설사 공사현장으로 위험지역 된 '<b>어린이보호구역</b>',https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=629&aid=0000102897,일 오후 시경 대형 건설사인 건설이 대구 수성구 공사현장 정문 앞을 가로지르는 어린이보호구역에는 불법주차 차량이 줄지어 서 있었다 이 어린이보호구역은 폭 로 유치원 곳과 중고등학교의 등교길로 학생들이 
함덕초병설유치원, <b>어린이보호구역</b> 교통안전교육 실시,http://www.headlinejeju.co.kr/news/articleView.html?idxno=461433,제주 함덕초등학교병설유치원원장 문영호은 지난 일 유치원 주변 어린이보호구역에서 교통안전 교육을 실시했다고 일 밝혔다 최근 함덕초 주변으로 아이들의 안전한 등하원 길을 위해 어린이 통학로 노란색 
[광주 자치경찰 전면 시행 100일]순찰·재난지원…주민 생활현장 치안서비스 ...,http://www.kjdaily.com/article.php?aid=1633344628557286036,호시책 어린이보호구역 교통대책 월 자치경찰제 전면 시행에 맞춰 광주 자치경찰위원회이하 위원회는 제호 시책으로 어린이 보호구역 내 교통안전대책을 수립했다 지난해 월 운암동에서 어린이 보호 
국민권익위, 교통안전 저해 가로수 정비 나서,http://ikbc.co.kr/kor/news?mode=view&nwCd=main_news_05&menuId=56_65_702&nwid=373107,국민권익위 경찰옴부즈만은 전라남도 전남경찰청과 함께 무안 남악중학교 앞에서 어린이보호구역 속도제한 표지판을 가리는 가로수 가지치기에 나서는 등 교통안전을 저해하는 가로수 정비사업을 전국에서 처음으로 
강동구, <b>어린이 보호구역</b> 내 노상주차장 일제 정비,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005563560,서울 강동구는 주차장법과 도로교통법 개정에 따라 월일부터 관내 모든 어린이 보호구역 내 노상주차장을 일제 정비한다고 일 밝혔다 최근 스쿨존 내 어린이 교통사고 위험을 막기 위해 통학로 보행환경에 대한 
강동구, <b>어린이 보호구역</b> 내 노상주차장 일제 정비,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001879085,강동구구청장 이정훈는 주차장법 및 도로교통법 개정에 따라 오는 월 일부터 관내 모든 어린이 보호구역 내 노상주차장을 일제 정비한다고 일 밝혔다 최근 스쿨존 내 어린이 교통사고 위험이 대두되면서 통학로 
강동구, 10월 <b>어린이 보호구역</b> 노상주차장 일제 정비,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010684183,기사내용 요약주차장법 도로교통법 개정 등에 따라 월일자로 정비 주택가 소규모 주차장 확충 공유 주차 활성화 계획 서울 강동구는 오는 월일부터 관내 모든 어린이 보호구역 내 노상주차장을 일제 정비한다고 
대구시, <b>어린이 보호구역</b> ‘무인 교통단속 장비’ 264대 추가 설치,http://www.kukinews.com/newsView/kuk202108260183,대구시가 내년까지 어린이 보호구역에 무인 교통단속 장비 대를 추가 설치한다 사진은 동평초 인근 교차로 대구시 제공  대구시는 내년까지 어린이 보호구역 보행 안전 확보를 위해 무인 교통단속 
강동구, <b>어린이 보호구역</b>내 노상주차장 일제 정비,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065599799546394,서울 강동구구청장 이정훈는 주차장법 및 도로교통법개정에 따라 오는 월일부터 지역내 모든 어린이 보호구역내 노상주차장을 일제 정비한다고 밝혔다 최근 스쿨존 내 어린이 교통사고 위험이 대두되면서 
대구광역시, <b>어린이 보호구역</b> '무인교통단속장비' 설치 확대,http://www.gukjenews.com/news/articleView.html?idxno=2295823,사진제공대구시청 대구시권영진 대구시장는 내년까지 어린이 보호구역 보행 안전 확보를 위해 무인교통신호과속단속장비 대를 추가 설치한다 년 월 도로교통법 개정일명 민식이법으로 어린이 
대구시, <b>어린이보호구역</b> 무인단속장비 설치 확대,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003546047,대구시는 내년까지 어린이 보호구역 보행 안전 확보를 위해 무인교통신호과속단속장비 대를 추가 설치한다 대구시는 년 월 도로교통법 개정으로 어린이 보호구역에 무인교통단속장비를 우선 설치해야 
오가초, <b>어린이보호구역</b> 통학로 정비 사업 준공,https://www.ccdailynews.com/news/articleView.html?idxno=2078134, 어린이보호구역 통학로 정비사업 충남 예산군 오가초등학교는 년 월에 년 충청남도 도민참여 예산제 공모사업으로 어린이보호구역 통학로 정비 사업이 선정되어 예산군청의 사업 지원을 받아 지난 월부터 
울산 남구·경찰, <b>어린이보호구역</b> 불법 주·정차 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011111148,울산 남구는 학기 개학을 맞아 다음달 일까지 울산남부경찰서와 함께 관내 초등학교 어린이보호구역에 대한 불법 주정차 단속을 실시합니다 단속 구간은 남구 지역 초등학교의 주출입문과 통학로 등 학교 일대 
대구시, <b>어린이 보호구역</b> ‘무인교통단속장비’ 설치 확대,http://www.kbsm.net/default/index_view_page.php?idx=321687&part_idx=320,대구시가 내년까지 어린이 보호구역 보행 안전 확보를 위해 무인교통신호과속단속장비 대를 추가 설치한다도로교통법 개정일명 민식이법으로 어린이 보호구역에 무인교통단속장비를 우선 설치해야 됨에 따라 
대구시, <b>어린이 보호구역</b> '무인교통 단속장비' 설치 확대,http://www.hidomin.com/news/articleView.html?idxno=462079,대구시가 어린이 보호구역에서의 보행자 안전 확보에 힘을 쏟는다 대구시는 올해와 내년까지 대구지역 어린이 보호구역 내에 신호과속 등 무인교통 단속장비 대를 추가 설치한다고 일 밝혔다 앞서 시는 지난 
강동구, <b>어린이 보호구역</b> 내 노상주차장 일제정비,http://www.shinailbo.co.kr/news/articleView.html?idxno=1452353,서울시 강동구는 주차장법및 도로교통법 개정에 따라 오는 월일부터 관내 모든 어린이 보호구역 내 노상주차장을 일제 정비한다고 일 밝혔다 최근 스쿨존 내 어린이 교통사고 위험이 대두되면서 통학로 
인천경찰청, 신광초교 <b>어린이보호구역</b> 안전점검,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004432513,송민헌 인천경찰청장이 오늘일 중구청장 남부교육지원청장 등과 합동으로 신광초교 어린이보호구역 안전실태를 점검했습니다 이 곳에선 지난 월 톤 화물차량에 의한 교통사고로 하교하던 초등학생이 사망한 
울산 남구, <b>어린이 보호구역</b> 개선사업 시행,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005561479,울산 남구는 통학생들의 교통사고를 예방하기 위해 년 어린이 보호구역 개선사업을 추진한다고 일 밝혔다 올해 개선사업은 곳에서 시행된다 남구는 어린이 보호구역으로 신규 지정된 송화어린이집에 보호구역 
울산 남구, '2021년도 <b>어린이 보호구역</b> 개선사업' 추진,https://www.ibabynews.com/news/articleView.html?idxno=97737,남구에 따르면 관내 어린이보호구역으로 지정된 초등학교 등에 통학로의 안전과 범죄예방을 위해 억 만 원을 투입해 어린이 보호구역 개선사업을 시행하고 있다 올해 개선사업은 신규 지정된 송화어린이집에 
울산 남구, <b>어린이 보호구역</b> 7곳 개선 사업 추진,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010682810,사업 대상지 가운데 송화어린이집에는 어린이보호구역 표지판 등 신규시설물을 설치한다 남산초등학교 등 개 학교에는 고원식횡단보도 안전펜스 설치 등 안전시설물 보강공사에 들어간다 월평초등학교는 
울산 남구, '2021년도 <b>어린이 보호구역</b> 개선사업' 시행,http://www.iusm.co.kr/news/articleView.html?idxno=921209,일 남구에 따르면 관내 어린이보호구역으로 지정된 초등학교 등에 통학로의 안전과 범죄예방을 위해 억만원을 투입해 어린이 보호구역 개선사업을 시행하고 있다 올해 개선사업은 신규 지정된 송화어린이집에 
대구 <b>어린이보호구역</b>이 아파트 공사로 사고위험지역 전락,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=469&aid=0000625788,대형 건설사인 건설이 대구 수성구에서 아파트 공사를 진행하면서 어린이보호구역이 사고위험 지역으로 전락했다는 지적이 일고 있다 이 일대 어린이보호구역은 접촉 사고가 잦아 보행자 안전이 심각한 위협을 받고 
인천 동구, <b>어린이보호구역</b> 주차장 폐지로 인한 주민불편 최소화 총력,http://www.kmaeil.com/news/articleView.html?idxno=300187,인천시 동구청 인천 동구가 주차장법 개정 시행으로 어린이보호구역 내 노상주차장이 전면 폐지됨에 따라 야기되는 주민들의 불편을 최소화하기 위해 주민을 대상으로 적극적인 사전 홍보를 실시하고 대체주차장 확보를 
인천시 동구, <b>어린이보호구역</b> 주차장 폐지로 인한 주민불편 최소화 총력,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065589499028521,인천 동구구청장 허인환가 주차장법 개정 시행으로 어린이보호구역 내 노상주차장이 전면 폐지됨에 따라 야기되는 주민들의 불편을 최소화하기 위해 주민을 대상으로 적극적인 사전 홍보를 실시하고 대체주차장 확보를 
울산 남구, ‘2021년도 <b>어린이 보호구역</b> 개선사업’시행,https://www.sisa-news.com/news/article.html?no=169269,남구에 따르면 관내 어린이보호구역으로 지정된 초등학교 등에 통학로의 안전과 범죄예방을 위해 억천만원을 투입해 어린이 보호구역 개선사업을 시행하고 있다 올해 개선사업은 신규 지정된 송화어린이집에 
성동구, <b>어린이보호구역</b> 내 과속경보시스템 확대 설치,http://www.boannews.com/media/view.asp?idx=100101&kind=,서울 성동구는 이달 차량 규정 속도 준수로 교통약자인 어린이들의 안전한 보행환경을 유지하고 학교 주변 교통사고를 방지하기 위해 어린이보호구역에 태양광 과속경보시스템을 개를 추가 설치했다태양광 
광주광산경찰서, <b>어린이 보호구역</b> 불법 주·정차 합동단속,http://www.sisamagazine.co.kr/news/articleView.html?idxno=370944,조성을 위해 광산구와 합동으로 불법 주정차 차량에 대해 단속을 실시하고 인근 상가 주민들에게도 어린이 교통안전을 위해 협조를 당부하였다 광주광산경찰서 어린이 보호구역 불법 주정차 합동단속사진광산경찰서
또 안전불감증… 청담동 <b>어린이보호구역</b> 공사장 가림막 붕괴,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=081&aid=0003213574,서울 강남구 청담동 한 복합상가 재건축 공사장에서 일 가림막 약 가 무너져 어린이보호구역으로 쓰러져 있다 연합뉴스
김해시, 60억 투입 <b>어린이보호구역</b> 안전 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010679636,기사내용 요약전 초등학교 과속단속카메라 설치 목표 연도 년 앞당겨 내년 완료 경남 김해시는 억원의 사업비를 투자해 올해 말까지 관내 전체 개 초등학교 어린이보호구역의 안전을 강화한다고 일 밝혔다 
김해시, 60억원 투입 <b>어린이보호구역</b> 안전 강화,http://www.cnbnews.com/news/article.html?no=507384,사진김해시 제공 경남 김해시는 년 지역교통안전환경개선사업에서 확보한 국비를 포함해 총 억원의 사업비를 투자해 올해 말까지 관내 전체 개 초등학교 어린이보호구역의 안전을 강화한다고 일 밝혔다 
김해시, <b>어린이</b> 통학길 안전 위해 <b>보호구역</b> 시설 대폭 확충,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20210824.99099006286,국제안전도시의 위상에 걸맞게 어린이 교통안전에 집중적으로 투자한다김해시는 올해 지역 교통안전 환경 개선사업으로 억 원을 들여 학교 주변 어린이 보호구역에 대한 시설 투자를 늘리기로 했다고 일 밝혔다 이 
60억 투입 <b>어린이보호구역</b> 안전시설 확충,http://www.gnmaeil.com/news/articleView.html?idxno=478481,국비 억 확보 곳 환경개선 신호기 교체대기소 설치 등 내년 전 초교 과속카메라 도입 국제안전도시 김해시가 올해만 억 원을 투입해 지역 내 전체 초등학교 어린이보호구역 안전시설을 추가 설치하거나 
김해시, 60억 투입 <b>어린이보호구역</b> 안전 강화한다,http://www.newsgn.com/311697,김해시는 년 지역교통안전환경개선사업에서 확보한 국비를 포함해 총 억 원의 사업비를 투자해 올해 말까지 관내 전체 개 초등학교 어린이보호구역의 안전을 강화한다 일 김해시에 따르면 
대책 없는 <b>어린이 보호 구역</b> 내 노상 주차장 폐쇄,http://www.gocj.net/news/articleView.html?idxno=116858,지난 일 개정 시행한 주차장법에 따라 어린이 보호 구역 내 노상 주차면오른쪽을 지운 대전 서구 한 아파트 인근의 모습 다른 주차면 확보 없이 폐쇄해 주차난을 겪는 주민 원성이 높아지고 있다 지난 달 개정 시행한 
김해시 60억 투입 <b>어린이보호구역</b> 안전 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=082&aid=0001114966,김해시시장 허성곤는 년 지역교통안전환경개선사업에서 확보한 국비를 포함해 총 억원의 사업비를 투자해 올해 말까지 관내 전체 개 초등학교 어린이보호구역의 안전을 강화한다고 일 밝혔다 시는 
김해시 60억 투입, <b>어린이보호구역</b> 교통환경 조성,http://www.gndomin.com/news/articleView.html?idxno=286902,김해시가 관내 초등학교 어린이보호구역의 안전 강화를 위한 교통환경조성에 들어간다고 밝혔다 시가 일 밝힌 어린이보호구역 안전 강화는 국비를 포함 총억원의 사업비가 투입된다는 것 이에 따라 시는 
울산 남구, '2021년도 <b>어린이 보호구역</b> 개선사업' 시행,http://www.ksilbo.co.kr/news/articleView.html?idxno=911084,올해 개선사업은 신규 지정된 송화어린이집에 어린이보호구역 표지판 등 신규시설물을 설치하고 남산초등학교 등 개 학교에 대해서는 고원식횡단보도 안전휀스 설치 등 안전시설물 보강공사가 이뤄진다 개선학교 
경찰, <b>어린이보호구역</b> 신호·속도 위반 등 집중 단속,http://www.obsnews.co.kr/news/articleView.html?idxno=1324382,서울경찰청은 다음 달 일로 예정된 초등학교 전면 등교에 맞춰 어린이보호구역 교통법규 위반과 불법 주정차 행위를 집중 단속하기로 했습니다 우선 경찰서별로 전담팀을 만들어 오후 시부터 시까지의 하교 시간대에 
인천시 2022년 참여예산 500억원 목표 윤곽나왔다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=005&aid=0001474134,스마트 횡단보도 설치 사업은 억원이 투입돼 보행자가 횡단보도  바닥 신호등을 인식해 안전하게 길을 건널 수 있도록 돕는 교통 시설물로 경제자유구역청 초등학교 인근 어린이보호구역 일대에 총 대가 
이곳은 <b>어린이 보호구역</b>입니다,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579037,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
<b>어린이보호구역</b> 덮친 철거현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579063,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
<b>어린이 보호구역</b> 위로 쓰러진 공사 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579061,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
<b>어린이 보호구역</b> 덮친 공사현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579056,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
<b>어린이보호구역</b> 위로 무너진 철거공사 현장 가림막,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579047,일 서울 청담동의 한 철거 공사 현장에 가림막이 붕괴돼 어린이 보호구역으로 쓰러져 있다 경찰에 따르면 이날 오전 시 분께 가림막 가량이 옆으로 쓰러졌으며 이 사고로 다친 사람은 없었다 뉴스
김해시, 초교 60곳 <b>어린이보호구역</b> 시설 강화,http://www.idomin.com/news/articleView.html?idxno=770723,김해시가 올해 말까지 초등학교 곳을 대상으로 어린이보호구역 안전시설을 강화한다 시는 년 지역교통안전 환경개선사업으로 확보한 국비를 포함해 사업비 억 원을 투자한다 앞서 시는 어린이보호구역 
[뉴스1 PICK]강남서 공사장 20M 가림막 붕괴…<b>어린이보호구역</b> &quot;아찔&quot;,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005579109,안전 조치를 하면서 정확한 사고 원인을 조사 중이다 사고가 난 공사장은 복합상가 재건축 현장으로 지난달부터 공사가 진행된 곳으로 근처 초등학교가 있어 등하교길 학생들이 자주걸어 다니는 어린이 보호구역이다
서울 자치경찰위, 첫 유관기관 회의…여성안전대책 논의,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011129658,특히 어린이 보호구역 내 교통안전시설물을 개선하고 등하교 시간대 불법 주정차과속 등에 대한 단속을 강화하는 등의 방안이 논의됐습니다 사진 출처  연합뉴스
<b>어린이보호구역</b> 횡단보도 사고 운전자 징역형 집행유예,https://www.ibabynews.com/news/articleView.html?idxno=97672,어린이보호구역에서 어린이를 치는 교통사고를 낸 운전자가 법원에서 집행유예를 선고 받았다 베이비뉴스 운전 중 어린이보호구역에서 어린이를 친 혐의를 받은 운전자에게 집행유예가 선고됐다 대구지법 형사부 
홍성군, 스쿨존 안전운전 캠페인… 민·관 합동 전개,https://www.siminilbo.co.kr/news/newsview.php?ncode=1065591941102110,이들은 주변 운전자들을 대상으로 어린이보호구역내 규정속도 준수 불법 주정차 금지 등 기초 교통안전 수칙을 집중적으로 홍보하며 안전 우선의 교통문화 정착을 위한 분위기 조성에 나섰다 군 관계자는 이번 
대구 <b>어린이보호구역</b> 사고 운전자, 집행유예 선고,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=366&aid=0000756174,대구의 한 어린이보호구역 횡단보도에서 어린이를 친 운전자가 집행유예를 선고받았다 일 대구지법 형사부이규철 부장판사는 운전 중 어린이보호구역에서 어린이를 친 혐의특정범죄 가중처벌 등에 관한 법률 
<b>어린이보호구역</b>에서 사고낸 50대에 징역형의 집행유예 선고,https://www.yeongnam.com/web/view.php?key=20210823010002897,대구지법 형사부부장판사 이규철는 어린이보호구역에서 운전 중 어린이를 친 혐의로 기소된 여씨에게 징역 월에 집행유예 년을 선고하고 준법운전강의 시간 수강을 명했다고 일 밝혔다씨는 지난 월 
<b>어린이보호구역</b> 횡단보도서 <b>어린이</b> 친 50대 운전자 집유 2년,http://www.dkilbo.com/news/articleView.html?idxno=342228,어린이보호구역에서 운전을 하다 횡단보도를 건너던 어린이를 다치게 한 운전자가 징역형의 집행유예를 선고받았다 대구지법 형사 부는 일 어린이보호구역에서 운전 중 어린이를 다치게 한 혐의로 운전자 모씨 
박정권 수성구의원, &quot;<b>어린이보호구역</b>, 일방통행 선제적 운영 필요&quot;,https://www.newsmin.co.kr/news/61501/,박정권 수성구의원이 교통사고 예방을 위해 어린이보호구역을 우선적으로 일방통행 도로로 지정하는 방안을 제안했다 박 의원은 일 수성구의회 제회 임시회에서 최근 범어동에서 한 초등학생이 트레일러에 깔린 
대구경북TBC)<b>어린이 보호구역</b> 무인단속장비 추가 설치,http://www.tbc.co.kr/tbc_news/n14_newsview.html?p_no=20210826162003AE06419,대구시는 내년까지 어린이 보호구역에 무인교통단속장비 대를 추가로 설치합니다 대구시는 국비 여억 원을 들여 지난해 대를 시작으로 올해 대 내년에 대의 무인교통단속기를 설치할 계획입니다 또 
울산 남구·경찰, <b>어린이보호구역</b> 불법 주·정차 단속,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011111028,울산 남구는 학기 개학을 맞아 다음달 일까지 울산남부경찰서와 함께 관내 초등학교 어린이보호구역에 대한 불법 주정차 단속을 실시합니다
세종시, <b>어린이</b>식품안전<b>보호구역</b> 위생 점검,http://www.ccnnews.co.kr/news/articleView.html?idxno=228856,세종시청 세종시는 개학기를 맞이해 일부터 일까지 어린이식품안전보호구역 내 어린이 기호식품 조리판매업소 곳을 대상으로 식품 안전 및 위생 상태를 집중 점검한다 어린이식품안전보호구역은 학교 
창녕군, <b>어린이보호구역</b> 정비 및 공영주차장 조성 추진,http://www.enewstoday.co.kr/news/articleView.html?idxno=1505590,창녕군군수 한정우는 어린이보호구역 정비와 공영주차장 조성을 통해 군민의 교통 안전을 도모하고 편의를 증진시켜 살고 싶고 있고 싶은 군을 만들고 있다 지난해 민식이법이 시행되고 어린이보호구역 내 운전 
창녕군, <b>어린이보호구역</b> 정비·공영주차장 조성 추진,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010672886,기사내용 요약어린이보호구역 개 표지판 정비군민 교통안전과 편의를 위해 노력 경남 창녕군은 살고 싶고 있고 싶은 창녕 조성을 위해 관내 어린이보호구역스쿨존 정비와 공영주차장을 조성한다고 일 밝혔다 
부산 북구의회, <b>어린이 보호구역</b> 내 주거지 전용 주차장 폐지 문제 성토,http://www.gukjenews.com/news/articleView.html?idxno=2290782,부산 북구의회는 개정 주차장법년 월 일 시행으로 어린이보호구역 내 주거지 전용 주차장이 갑작스럽게 폐지됨에 따라 발생하는 불편과 혼란에 대해 성토하고 관련법 시행 유예 및 개정을 국회와 행정안전부 
동대문구, 군자초 <b>어린이 보호구역</b> 통학로 환경 개선,http://www.shinailbo.co.kr/news/articleView.html?idxno=1450479,서울 동대문구가 어린이 보호구역에서의 교통사고를 방지하기 위해 군자초등학교 일대를 중심으로 통학로 환경을 개선했다 구는 장안평 도시재생활성화사업의 일환으로 지난 월 스마트횡단보도 설치 군자초등학교 
구리시, <b>어린이 보호구역</b> 6곳에 노란신호등 교체 완료,http://www.breaknews.com/827886,시는 지난 월 일 공사를 시작으로 한 달 간 어린이 교통사고 예방을 위해 어린이보호구역 내 초등학교 개소 총 대의 기존 신호등을 노란 신호등으로 교체했다 
서울시 자치경찰위, 여성안전·교통사망사고 대책 발 벗고 나서,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005631768,서울경찰청 교통안전과 서울시 교통운영과 서울시교육청 정책안전기획관은 최근 교통사고가 증가하는 데에 심각성을 인식하고 교통사망사고 감소대책 어린이 보호구역 교통안전 강화와 관련한 협력방안도 
<b>어린이보호구역</b>서 사고 낸 50대 집행유예,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011106893,대구지방법원은 어린이보호구역에서 교통사고를 내 어린이를 다치게 친 혐의로 기소된 살 씨에게 징역 월에 집행유예 년을 선고하고 시간 준법운전강의 수강을 명령했습니다 재판부는 씨가 피해자 측으로부터 
<b>어린이보호구역</b> 횡단보도 사고 운전자 징역형 집유,https://dgmbc.com/article/aUeVN-HkwIG2Tm,대구지법 형사부 이규철 부장판사는 운전을 하다가 어린이보호구역에서 어린이를 친 혐의로 기소된 살  씨에게 징역 월에 집행유예 년을 선고하고 시간 준법 운전 강의 수강을 명했습니다 씨는 지난 월 일 
김해시, <b>어린이보호구역</b> 강화에 60억 원 투입,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=056&aid=0011107757,김해시가 올해 말까지 억 원을 들여 초등학교 곳의 어린이보호구역을 정비합니다 올해 율하초등학교 등 곳에 과속단속카메라 여 대를 설치하고 우암초등학교 등 곳에 신호기 대를 교체합니다 또 내년까지 
강원경찰청, <b>어린이보호구역</b> 안전활동 강화,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010671184,기사내용 요약등하교 시간대 어린이보호구역 근무 인원 추가 배치 어린이보호구역 불법 주정차 단속 보행자 보호의무신호위반 집중 단속 춘천뉴시스 김경목 기자  어린이보호구역에서 경찰의 안전활동이 강화된다 
